"date","confirmed","deaths"
2020-01-22,,
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,2.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,6.0,0.0
2020-02-04,0.0,0.0
2020-02-05,1.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,4.0,0.0
2020-02-09,1.0,0.0
2020-02-10,0.0,0.0
2020-02-11,1.0,0.0
2020-02-12,1.0,0.0
2020-02-13,1.0,0.0
2020-02-14,1.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,1.0,0.0
2020-02-18,0.0,0.0
2020-02-19,1.0,0.0
2020-02-20,2.0,0.0
2020-02-21,1.0,0.0
2020-02-22,0.0,0.0
2020-02-23,5.0,0.0
2020-02-24,2.0,0.0
2020-02-25,4.0,0.0
2020-02-26,3.0,0.0
2020-02-27,7.0,0.0
2020-02-28,12.0,0.0
2020-02-29,5.0,0.0
2020-03-01,33.0,0.0
2020-03-02,40.0,0.0
2020-03-03,55.0,0.0
2020-03-04,56.0,0.0
2020-03-05,49.0,0.0
2020-03-06,79.0,1.0
2020-03-07,55.0,1.0
2020-03-08,54.0,0.0
2020-03-09,147.0,1.0
2020-03-10,258.0,4.0
2020-03-11,411.0,0.0
2020-03-12,489.0,2.0
2020-03-13,479.0,1.0
2020-03-14,364.0,19.0
2020-03-15,442.0,14.0
2020-03-16,612.0,22.0
2020-03-17,768.0,17.0
2020-03-18,999.0,34.0
2020-03-19,1055.0,46.0
2020-03-20,1254.0,32.0
2020-03-21,1197.0,58.0
2020-03-22,1376.0,36.0
2020-03-23,2335.0,76.0
2020-03-24,2371.0,148.0
2020-03-25,2693.0,191.0
2020-03-26,3084.0,181.0
2020-03-27,3201.0,288.0
2020-03-28,2822.0,292.0
2020-03-29,2857.0,212.0
2020-03-30,4273.0,374.0
2020-03-31,4515.0,403.0
2020-04-01,4914.0,672.0
2020-04-02,4865.0,657.0
2020-04-03,4915.0,736.0
2020-04-04,4020.0,756.0
2020-04-05,3594.0,599.0
2020-04-06,5275.0,567.0
2020-04-07,5450.0,1105.0
2020-04-08,5129.0,1030.0
2020-04-09,4852.0,1116.0
2020-04-10,4315.0,1122.0
2020-04-11,3577.0,843.0
2020-04-12,3495.0,657.0
2020-04-13,4183.0,724.0
2020-04-14,4325.0,1076.0
2020-04-15,5065.0,880.0
2020-04-16,5298.0,1036.0
2020-04-17,4965.0,913.0
2020-04-18,4716.0,1105.0
2020-04-19,3852.0,432.0
2020-04-20,4858.0,570.0
2020-04-21,4760.0,1224.0
2020-04-22,5490.0,847.0
2020-04-23,5143.0,682.0
2020-04-24,4973.0,1010.0
2020-04-25,3748.0,815.0
2020-04-26,3468.0,364.0
2020-04-27,4702.0,320.0
2020-04-28,4721.0,969.0
2020-04-29,5435.0,769.0
2020-04-30,4956.0,634.0
2020-05-01,4727.0,698.0
2020-05-02,3221.0,584.0
2020-05-03,2974.0,253.0
2020-05-04,3378.0,272.0
2020-05-05,3684.0,726.0
2020-05-06,3831.0,647.0
2020-05-07,3767.0,458.0
2020-05-08,3049.0,579.0
2020-05-09,2150.0,275.0
2020-05-10,2321.0,217.0
2020-05-11,3583.0,187.0
2020-05-12,3389.0,614.0
2020-05-13,3298.0,447.0
2020-05-14,2609.0,352.0
2020-05-15,2517.0,350.0
2020-05-16,2065.0,411.0
2020-05-17,1826.0,67.0
2020-05-18,2574.0,146.0
2020-05-19,3041.0,500.0
2020-05-20,2706.0,328.0
2020-05-21,2542.0,273.0
2020-05-22,2030.0,291.0
2020-05-23,1507.0,220.0
2020-05-24,1348.0,379.0
2020-05-25,1607.0,104.0
2020-05-26,1650.0,131.0
2020-05-27,1802.0,422.0
2020-05-28,1734.0,343.0
2020-05-29,1504.0,274.0
2020-05-30,1099.0,154.0
2020-05-31,1069.0,60.0
2020-06-01,1434.0,86.0
2020-06-02,1467.0,249.0
2020-06-03,1342.0,254.0
2020-06-04,1234.0,130.0
2020-06-05,1105.0,258.0
2020-06-06,791.0,143.0
2020-06-07,717.0,54.0
2020-06-08,1086.0,47.0
2020-06-09,1153.0,195.0
2020-06-10,1182.0,164.0
2020-06-11,1001.0,76.0
2020-06-12,1053.0,131.0
2020-06-13,887.0,107.0
2020-06-14,807.0,27.0
2020-06-15,1026.0,29.0
2020-06-16,1077.0,120.0
2020-06-17,997.0,110.0
2020-06-18,1020.0,67.0
2020-06-19,980.0,84.0
2020-06-20,666.0,71.0
2020-06-21,622.0,31.0
2020-06-22,892.0,14.0
2020-06-23,882.0,94.0
2020-06-24,774.0,87.0
2020-06-25,697.0,99.0
2020-06-26,638.0,77.0
2020-06-27,633.0,40.0
2020-06-28,395.0,31.0
2020-06-29,604.0,21.0
2020-06-30,403.0,53.0
2020-07-01,60.0,97.0
2020-07-02,4.0,41.0
2020-07-03,502.0,49.0
2020-07-04,624.0,32.0
2020-07-05,516.0,19.0
2020-07-06,352.0,11.0
2020-07-07,581.0,54.0
2020-07-08,630.0,57.0
2020-07-09,642.0,31.0
2020-07-10,512.0,34.0
2020-07-11,820.0,17.0
2020-07-12,650.0,9.0
2020-07-13,530.0,10.0
2020-07-14,1240.0,44.0
2020-07-15,538.0,26.0
2020-07-16,641.0,24.0
2020-07-17,687.0,26.0
2020-07-18,827.0,9.0
2020-07-19,726.0,11.0
2020-07-20,580.0,10.0
2020-07-21,445.0,25.0
2020-07-22,560.0,17.0
2020-07-23,769.0,9.0
2020-07-24,768.0,32.0
2020-07-25,767.0,15.0
2020-07-26,745.0,8.0
2020-07-27,685.0,3.0
2020-07-28,547.0,21.0
2020-07-29,797.0,34.0
2020-07-30,846.0,0.0
2020-07-31,880.0,20.0
2020-08-01,761.0,13.0
2020-08-02,743.0,5.0
2020-08-03,938.0,1.0
2020-08-04,670.0,18.0
2020-08-05,891.0,14.0
2020-08-06,950.0,18.0
2020-08-07,871.0,12.0
2020-08-08,758.0,3.0
2020-08-09,1062.0,5.0
2020-08-10,816.0,18.0
2020-08-11,1148.0,13.0
2020-08-12,1009.0,20.0
2020-08-13,1129.0,18.0
2020-08-14,1440.0,11.0
2020-08-15,1012.0,3.0
2020-08-16,1105.0,5.0
2020-08-17,713.0,3.0
2020-08-18,1089.0,12.0
2020-08-19,812.0,16.0
2020-08-20,1182.0,6.0
2020-08-21,1033.0,2.0
2020-08-22,1288.0,18.0
2020-08-23,1041.0,6.0
2020-08-24,972.0,4.0
2020-08-25,1184.0,16.0
2020-08-26,1048.0,16.0
2020-08-27,1522.0,12.0
2020-08-28,1276.0,9.0
2020-08-29,1108.0,12.0
2020-08-30,1715.0,1.0
2020-08-31,1406.0,2.0
2020-09-01,1295.0,3.0
2020-09-02,1508.0,10.0
2020-09-03,1735.0,13.0
2020-09-04,1940.0,10.0
2020-09-05,1813.0,12.0
2020-09-06,2988.0,2.0
2020-09-07,2948.0,3.0
2020-09-08,2460.0,32.0
2020-09-09,2659.0,8.0
2020-09-10,2919.0,14.0
2020-09-11,3539.0,6.0
2020-09-12,3497.0,9.0
2020-09-13,3330.0,5.0
2020-09-14,2621.0,9.0
2020-09-15,3103.0,27.0
2020-09-16,3991.0,20.0
2020-09-17,3395.0,21.0
2020-09-18,4322.0,27.0
2020-09-19,4422.0,27.0
2020-09-20,3899.0,18.0
2020-09-21,4368.0,11.0
2020-09-22,4926.0,37.0
2020-09-23,6178.0,37.0
2020-09-24,6634.0,40.0
2020-09-25,6873.0,34.0
2020-09-26,6041.0,35.0
2020-09-27,5692.0,17.0
2020-09-28,4044.0,13.0
2020-09-29,7143.0,71.0
2020-09-30,7108.0,71.0
2020-10-01,6914.0,59.0
2020-10-02,6968.0,66.0
2020-10-03,12871.0,49.0
2020-10-04,22961.0,33.0
2020-10-05,12593.0,19.0
2020-10-06,14542.0,76.0
2020-10-07,14162.0,70.0
2020-10-08,17540.0,77.0
2020-10-09,13864.0,87.0
2020-10-10,15165.0,81.0
2020-10-11,12872.0,65.0
2020-10-12,13972.0,50.0
2020-10-13,17232.0,143.0
2020-10-14,19724.0,137.0
2020-10-15,18978.0,138.0
2020-10-16,15635.0,136.0
2020-10-17,16171.0,150.0
2020-10-18,16981.0,67.0
2020-10-19,18803.0,80.0
2020-10-20,21330.0,241.0
2020-10-21,26687.0,191.0
2020-10-22,21238.0,189.0
2020-10-23,20531.0,224.0
2020-10-24,23012.0,174.0
2020-10-25,19790.0,151.0
2020-10-26,20890.0,102.0
2020-10-27,22885.0,367.0
2020-10-28,24700.0,310.0
2020-10-29,23065.0,280.0
2020-10-30,24405.0,274.0
2020-10-31,21915.0,326.0
2020-11-01,23254.0,162.0
2020-11-02,18950.0,136.0
2020-11-03,20018.0,397.0
2020-11-04,25177.0,492.0
2020-11-05,24138.0,378.0
2020-11-06,23287.0,355.0
2020-11-07,24957.0,413.0
2020-11-08,20572.0,156.0
2020-11-09,21350.0,194.0
2020-11-10,20412.0,532.0
2020-11-11,22950.0,595.0
2020-11-12,33470.0,563.0
2020-11-13,27301.0,376.0
2020-11-14,26860.0,462.0
2020-11-15,24962.0,168.0
2020-11-16,21363.0,213.0
2020-11-17,20051.0,598.0
2020-11-18,19609.0,529.0
2020-11-19,22915.0,501.0
2020-11-20,20252.0,511.0
2020-11-21,19875.0,340.0
2020-11-22,18662.0,398.0
2020-11-23,15450.0,206.0
2020-11-24,11299.0,608.0
2020-11-25,18213.0,695.0
2020-11-26,17555.0,498.0
2020-11-27,14739.0,520.0
2020-11-28,15871.0,479.0
2020-11-29,12155.0,215.0
2020-11-30,12330.0,203.0
2020-12-01,13429.0,603.0
2020-12-02,16170.0,648.0
2020-12-03,14878.0,414.0
2020-12-04,16298.0,504.0
2020-12-05,15539.0,397.0
2020-12-06,17271.0,231.0
2020-12-07,14718.0,189.0
2020-12-08,12281.0,599.0
2020-12-09,16578.0,533.0
2020-12-10,20964.0,516.0
2020-12-11,21672.0,424.0
2020-12-12,21501.0,520.0
2020-12-13,18447.0,144.0
2020-12-14,20263.0,232.0
2020-12-15,18450.0,506.0
2020-12-16,25161.0,612.0
2020-12-17,35383.0,532.0
2020-12-18,28507.0,489.0
2020-12-19,27052.0,534.0
2020-12-20,35928.0,326.0
2020-12-21,33364.0,215.0
2020-12-22,36803.0,691.0
2020-12-23,39237.0,744.0
2020-12-24,39036.0,574.0
2020-12-25,32725.0,570.0
2020-12-26,34693.0,210.0
2020-12-27,32340.0,347.0
2020-12-28,41385.0,357.0
2020-12-29,53135.0,458.0
2020-12-30,50023.0,981.0
2020-12-31,55892.0,964.0
2021-01-01,53285.0,613.0
2021-01-02,57724.0,445.0
2021-01-03,54990.0,454.0
2021-01-04,58784.0,407.0
2021-01-05,60916.0,874.0
2021-01-06,62322.0,1041.0
2021-01-07,52618.0,1162.0
2021-01-08,68053.0,1325.0
2021-01-09,59937.0,1035.0
2021-01-10,54940.0,563.0
2021-01-11,46169.0,529.0
2021-01-12,45533.0,1243.0
2021-01-13,47525.0,1564.0
2021-01-14,48682.0,1248.0
2021-01-15,55761.0,1280.0
2021-01-16,41342.0,1295.0
2021-01-17,38598.0,671.0
2021-01-18,37535.0,599.0
2021-01-19,33355.0,1610.0
2021-01-20,38905.0,1820.0
2021-01-21,37892.0,1290.0
2021-01-22,40261.0,1401.0
2021-01-23,33552.0,1348.0
2021-01-24,30004.0,610.0
2021-01-25,22195.0,592.0
2021-01-26,20088.0,1631.0
2021-01-27,25308.0,1725.0
2021-01-28,28680.0,1239.0
2021-01-29,29079.0,1245.0
2021-01-30,23275.0,1200.0
2021-01-31,21088.0,587.0
2021-02-01,18607.0,406.0
2021-02-02,16840.0,1449.0
2021-02-03,19202.0,1322.0
2021-02-04,20634.0,915.0
2021-02-05,19114.0,1014.0
2021-02-06,18262.0,828.0
2021-02-07,15845.0,373.0
2021-02-08,14104.0,333.0
2021-02-09,12364.0,1052.0
2021-02-10,13013.0,1001.0
2021-02-11,13494.0,678.0
2021-02-12,15144.0,758.0
2021-02-13,13307.0,621.0
2021-02-14,10972.0,258.0
2021-02-15,9765.0,230.0
2021-02-16,10625.0,799.0
2021-02-17,12717.0,738.0
2021-02-18,12057.0,454.0
2021-02-19,12027.0,533.0
2021-02-20,10406.0,445.0
2021-02-21,9834.0,215.0
2021-02-22,10641.0,177.0
2021-02-23,8489.0,548.0
2021-02-24,9938.0,442.0
2021-02-25,9985.0,323.0
2021-02-26,8523.0,345.0
2021-02-27,7434.0,290.0
2021-02-28,6035.0,144.0
2021-03-01,5455.0,104.0
2021-03-02,6391.0,343.0
2021-03-03,6385.0,487.0
2021-03-04,6573.0,242.0
2021-03-05,5946.0,236.0
2021-03-06,6039.0,158.0
2021-03-07,5177.0,82.0
2021-03-08,4712.0,65.0
2021-03-09,5766.0,231.0
2021-03-10,5926.0,190.0
2021-03-11,6753.0,181.0
2021-03-12,6609.0,175.0
2021-03-13,5534.0,121.0
2021-03-14,4618.0,52.0
2021-03-15,5089.0,64.0
2021-03-16,5294.0,110.0
2021-03-17,5758.0,141.0
2021-03-18,6303.0,95.0
2021-03-19,4802.0,100.0
2021-03-20,5587.0,96.0
2021-03-21,5312.0,33.0
2021-03-22,5342.0,17.0
2021-03-23,5379.0,112.0
2021-03-24,5604.0,98.0
2021-03-25,6220.0,63.0
2021-03-26,6187.0,70.0
2021-03-27,3865.0,58.0
2021-03-28,3862.0,19.0
2021-03-29,4654.0,23.0
2021-03-30,4040.0,55.0
2021-03-31,4052.0,43.0
2021-04-01,4478.0,51.0
2021-04-02,3402.0,52.0
2021-04-03,3423.0,10.0
2021-04-04,2297.0,10.0
2021-04-05,2762.0,26.0
2021-04-06,2379.0,20.0
2021-04-07,2762.0,45.0
2021-04-08,3030.0,53.0
2021-04-09,-4860.0,60.0
2021-04-10,2584.0,40.0
2021-04-11,1730.0,7.0
2021-04-12,3568.0,13.0
2021-04-13,2471.0,23.0
2021-04-14,2491.0,38.0
2021-04-15,2671.0,30.0
2021-04-16,2756.0,34.0
2021-04-17,2206.0,35.0
2021-04-18,1882.0,10.0
2021-04-19,2963.0,4.0
2021-04-20,2524.0,33.0
2021-04-21,2396.0,20.0
2021-04-22,2728.0,18.0
2021-04-23,2678.0,40.0
2021-04-24,2061.0,32.0
2021-04-25,1712.0,11.0
2021-04-26,2064.0,6.0
2021-04-27,2685.0,17.0
2021-04-28,2166.0,29.0
2021-04-29,2445.0,22.0
2021-04-30,2381.0,15.0
2021-05-01,1907.0,7.0
2021-05-02,1671.0,14.0
2021-05-03,1649.0,1.0
2021-05-04,1946.0,4.0
2021-05-05,2144.0,27.0
2021-05-06,2613.0,13.0
2021-05-07,2490.0,15.0
2021-05-08,2047.0,5.0
2021-05-09,1770.0,2.0
2021-05-10,2357.0,4.0
2021-05-11,2474.0,20.0
2021-05-12,2284.0,11.0
2021-05-13,2656.0,11.0
2021-05-14,2193.0,17.0
2021-05-15,2027.0,7.0
2021-05-16,1926.0,4.0
2021-05-17,1979.0,5.0
2021-05-18,-2364.0,7.0
2021-05-19,2135.0,3.0
2021-05-20,2694.0,7.0
2021-05-21,2702.0,9.0
2021-05-22,2523.0,6.0
2021-05-23,2092.0,5.0
